               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12674,            0.031906,                   0,                   0,                   0,                   0,                   0,             0.12397,            0.029674,                   0,               7e-05,               7e-05,             0.09937
                   1,             0.12076,            0.034036,                   0,          0.00080386,            0.010989,          0.00028498,          3.9283e-05,              0.1154,            0.031403,                   0,          0.00014997,          0.00014997,             0.09865
                   2,             0.11338,            0.037414,                   0,           0.0045778,            0.076923,           0.0012978,          0.00019846,              0.1043,            0.034306,                   0,           0.0002298,           0.0002298,             0.09793
                   3,             0.10348,             0.04261,                   0,           0.0084617,             0.17582,           0.0040956,          0.00080514,            0.092272,            0.037684,                   0,          0.00030938,          0.00030938,            0.097209
                   4,            0.094781,            0.045934,                   0,            0.012716,             0.13187,           0.0084317,           0.0016817,            0.083526,            0.039661,                   0,          0.00038862,          0.00038862,            0.096489
                   5,            0.086918,            0.047836,                   0,            0.027342,             0.49764,            0.021509,           0.0046839,            0.074655,            0.041235,                   0,           0.0004674,           0.0004674,            0.095767
                   6,            0.080808,            0.049042,                   0,             0.14449,             0.51648,              0.1027,            0.033393,             0.06781,            0.041043,                   0,          0.00054562,          0.00054562,            0.095046
                   7,            0.073528,            0.050966,                   0,             0.52202,             0.51607,             0.41141,             0.18185,            0.064155,            0.038602,                   0,          0.00062317,          0.00062317,            0.094323
                   8,            0.068623,            0.045382,                   0,             0.72826,              0.6044,             0.66036,             0.30321,             0.06053,            0.034598,                   0,          0.00069996,          0.00069996,              0.0936
                   9,            0.065324,            0.043417,                   0,             0.57789,             0.72215,             0.69689,              0.3105,            0.054829,            0.030021,                   0,          0.00077588,          0.00077588,            0.092876
                  10,            0.061358,            0.036673,                   0,             0.72523,             0.72512,             0.77433,              0.3428,            0.057047,            0.026309,                   0,          0.00085084,          0.00085084,            0.092151
                  11,            0.059195,            0.033006,                   0,             0.83484,             0.67033,             0.84277,             0.38542,            0.048226,            0.025186,                   0,          0.00092473,          0.00092473,            0.091425
                  12,            0.058879,            0.033018,                   0,             0.68057,             0.68132,             0.68844,             0.24578,             0.05048,            0.023741,                   0,          0.00099745,          0.00099745,            0.090697
                  13,            0.056741,            0.030858,                   0,             0.54531,             0.79076,             0.63366,             0.23872,            0.048671,            0.022753,                   0,           0.0010689,           0.0010689,            0.089969
                  14,            0.054543,            0.027752,                   0,             0.70398,             0.89011,              0.8404,             0.38814,            0.046673,            0.021388,                   0,            0.001139,            0.001139,            0.089239
                  15,            0.052457,             0.02769,                   0,             0.84374,             0.89002,             0.91426,             0.37466,            0.045553,            0.020531,                   0,           0.0012077,           0.0012077,            0.088508
                  16,            0.052204,            0.027103,                   0,             0.63741,             0.89011,             0.80481,             0.42753,            0.047383,            0.019534,                   0,           0.0012749,           0.0012749,            0.087775
                  17,            0.050912,            0.028088,                   0,             0.83504,             0.89006,             0.93326,             0.50699,            0.044341,            0.019195,                   0,           0.0013404,           0.0013404,             0.08704
                  18,            0.050437,            0.027237,                   0,             0.77644,             0.72515,             0.86273,             0.38967,             0.04608,            0.018608,                   0,           0.0014042,           0.0014042,            0.086304
                  19,            0.050203,            0.024975,                   0,             0.92133,             0.90093,              0.9639,             0.55729,            0.039497,            0.017859,                   0,           0.0014663,           0.0014663,            0.085566
                  20,            0.048009,              0.0227,                   0,             0.84905,             0.98894,             0.97297,             0.57617,            0.036201,            0.017495,                   0,           0.0015265,           0.0015265,            0.084826
                  21,            0.063209,            0.022588,                   0,              0.7361,             0.58237,             0.67607,             0.21718,            0.063178,            0.017068,                   0,           0.0015847,           0.0015847,            0.084085
                  22,            0.067859,            0.024348,                   0,             0.94128,             0.73626,             0.87136,             0.46616,            0.053674,             0.01741,                   0,            0.001641,            0.001641,            0.083341
                  23,            0.059797,            0.025723,                   0,             0.87837,             0.95604,             0.94789,             0.47299,            0.050341,            0.017477,                   0,           0.0016952,           0.0016952,            0.082595
                  24,            0.055386,            0.023657,                   0,             0.87875,             0.95575,             0.96307,             0.46188,             0.04494,             0.01707,                   0,           0.0017473,           0.0017473,            0.081847
                  25,             0.05939,            0.022542,                   0,             0.80724,             0.69033,             0.81186,             0.37563,            0.056491,            0.016618,                   0,           0.0017972,           0.0017972,            0.081097
                  26,            0.061481,            0.022084,                   0,             0.91887,             0.74675,             0.87224,              0.2782,            0.047218,             0.01747,                   0,           0.0018448,           0.0018448,            0.080345
                  27,            0.056707,            0.023471,                   0,             0.79209,             0.75824,             0.88031,             0.46898,            0.047028,             0.01627,                   0,           0.0018901,           0.0018901,             0.07959
                  28,            0.054348,            0.023072,                   0,               0.931,              0.8896,             0.93911,             0.35279,            0.050956,            0.015801,                   0,           0.0019331,           0.0019331,            0.078833
                  29,            0.052955,            0.024158,                   0,             0.66878,             0.95604,              0.8474,             0.49027,            0.041834,            0.015711,                   0,           0.0019737,           0.0019737,            0.078074
                  30,            0.050633,            0.022022,                   0,             0.95107,             0.85449,             0.95689,             0.62348,             0.04425,            0.014958,                   0,           0.0020118,           0.0020118,            0.077312
                  31,            0.050899,            0.020418,                   0,             0.79255,             0.96559,             0.90729,             0.35427,            0.048557,            0.014878,                   0,           0.0020475,           0.0020475,            0.076547
                  32,            0.051617,            0.021247,                   0,             0.94313,             0.91121,             0.97015,             0.56395,             0.04154,              0.0148,                   0,           0.0020807,           0.0020807,            0.075781
                  33,            0.048928,            0.021218,                   0,             0.90471,             0.83468,             0.91476,             0.35776,            0.044219,            0.015279,                   0,           0.0021113,           0.0021113,            0.075011
                  34,            0.047847,            0.021584,                   0,             0.97753,             0.95592,             0.98508,             0.51187,            0.036743,              0.0146,                   0,           0.0021393,           0.0021393,            0.074239
                  35,            0.046225,            0.021853,                   0,             0.86337,             0.84615,             0.89988,             0.40818,            0.044153,            0.014542,                   0,           0.0021648,           0.0021648,            0.073465
                  36,            0.052773,            0.020559,                   0,             0.92085,             0.76712,              0.9127,             0.54666,            0.044881,            0.014169,                   0,           0.0021877,           0.0021877,            0.072688
                  37,            0.047896,            0.020537,                   0,             0.87223,              0.9011,             0.91118,              0.4505,            0.047883,            0.014259,                   0,            0.002208,            0.002208,            0.071908
                  38,            0.048558,            0.020785,                   0,             0.75248,             0.87912,             0.86009,             0.45658,            0.051066,            0.014001,                   0,           0.0022257,           0.0022257,            0.071126
                  39,            0.051787,            0.018735,                   0,                0.78,             0.82418,             0.85807,              0.4596,            0.049717,            0.013982,                   0,           0.0022408,           0.0022408,            0.070341
                  40,            0.047468,            0.019364,                   0,             0.93901,             0.87912,             0.95775,             0.51288,            0.039289,             0.01416,                   0,           0.0022532,           0.0022532,            0.069553
                  41,            0.044257,            0.019528,                   0,             0.96704,             0.97802,             0.99008,             0.58648,            0.032825,            0.013455,                   0,           0.0022631,           0.0022631,            0.068763
                  42,            0.044825,            0.019007,                   0,             0.94561,             0.95604,             0.97903,             0.51291,            0.037293,            0.013678,                   0,           0.0022704,           0.0022704,             0.06797
                  43,             0.04237,            0.020668,                   0,             0.98888,             0.97738,             0.99221,             0.49254,            0.034542,            0.013457,                   0,           0.0022751,           0.0022751,            0.067175
                  44,            0.040221,            0.020528,                   0,             0.94357,             0.96703,             0.97589,              0.5398,            0.034394,            0.013411,                   0,           0.0022772,           0.0022772,            0.066377
                  45,            0.040611,            0.020427,                   0,              0.9621,             0.89011,             0.97286,             0.55721,            0.037365,            0.012904,                   0,           0.0022769,           0.0022769,            0.065577
                  46,            0.039175,            0.018515,                   0,             0.95483,             0.95604,             0.98813,             0.61977,             0.03328,            0.012963,                   0,            0.002274,            0.002274,            0.064774
                  47,            0.041189,            0.018414,                   0,             0.98896,             0.98901,             0.99447,             0.46463,            0.040353,            0.013034,                   0,           0.0022687,           0.0022687,            0.063969
                  48,            0.043768,            0.017748,                   0,             0.98901,             0.98894,             0.99404,             0.66153,            0.032907,            0.013234,                   0,            0.002261,            0.002261,            0.063161
                  49,            0.038634,            0.019294,                   0,             0.96727,             0.98901,             0.99012,             0.50992,            0.039249,            0.012889,                   0,           0.0022509,           0.0022509,            0.062351
                  50,            0.043053,             0.01738,                   0,             0.92095,              0.9011,             0.96296,              0.6569,            0.034232,            0.013311,                   0,           0.0022385,           0.0022385,            0.061539
                  51,            0.036973,            0.019407,                   0,                   1,             0.99998,               0.995,               0.632,            0.031783,            0.012671,                   0,           0.0022238,           0.0022238,            0.060724
                  52,            0.037355,            0.018358,                   0,             0.98876,             0.96683,             0.98969,             0.63154,             0.03538,            0.012707,                   0,            0.002207,            0.002207,            0.059907
                  53,             0.03661,            0.017971,                   0,             0.98364,             0.94505,             0.98815,             0.62917,            0.031441,            0.012372,                   0,            0.002188,            0.002188,            0.059088
                  54,            0.039139,            0.018889,                   0,             0.97741,             0.95604,             0.98328,             0.67488,            0.029334,              0.0124,                   0,           0.0021669,           0.0021669,            0.058267
                  55,            0.034659,             0.01701,                   0,             0.98888,             0.97721,             0.99415,             0.61691,            0.030508,            0.012211,                   0,           0.0021438,           0.0021438,            0.057444
                  56,            0.040161,            0.017147,                   0,             0.98889,             0.97782,             0.99344,             0.68733,            0.031189,            0.012371,                   0,           0.0021188,           0.0021188,            0.056619
                  57,            0.033443,            0.018878,                   0,                   1,             0.98886,             0.99478,             0.70351,            0.027545,            0.011828,                   0,            0.002092,            0.002092,            0.055792
                  58,            0.037013,            0.018576,                   0,             0.93614,             0.96659,              0.9882,             0.65199,            0.030101,            0.011932,                   0,           0.0020634,           0.0020634,            0.054963
                  59,            0.032808,            0.017078,                   0,                   1,             0.98897,             0.99478,              0.6509,             0.02909,            0.011782,                   0,           0.0020331,           0.0020331,            0.054133
                  60,            0.034193,            0.016641,                   0,             0.99939,             0.96703,             0.99326,             0.67234,            0.029078,             0.01151,                   0,           0.0020013,           0.0020013,            0.053301
                  61,            0.033498,            0.016752,                   0,             0.97825,             0.98865,             0.99327,             0.66423,            0.029315,             0.01177,                   0,            0.001968,            0.001968,            0.052468
                  62,            0.032176,            0.016805,                   0,             0.96565,             0.92675,             0.98663,             0.62514,            0.035033,            0.012049,                   0,           0.0019333,           0.0019333,            0.051633
                  63,            0.042634,            0.018249,                   0,             0.98873,             0.97802,             0.99135,             0.69388,            0.032328,            0.012161,                   0,           0.0018973,           0.0018973,            0.050797
                  64,            0.039779,            0.016891,                   0,              0.9055,             0.96703,             0.98451,             0.69089,            0.028348,            0.012652,                   0,           0.0018601,           0.0018601,             0.04996
                  65,            0.036457,            0.016921,                   0,             0.99876,             0.95604,             0.99085,             0.59811,            0.036825,            0.012067,                   0,           0.0018219,           0.0018219,            0.049122
                  66,            0.043218,            0.018318,                   0,             0.92678,             0.97802,              0.9843,             0.68107,            0.030656,            0.012161,                   0,           0.0017827,           0.0017827,            0.048283
                  67,            0.039846,            0.018146,                   0,                   1,             0.99998,               0.995,             0.58781,            0.032306,            0.012104,                   0,           0.0017427,           0.0017427,            0.047443
                  68,            0.034938,            0.018679,                   0,             0.99998,                   1,               0.995,             0.67097,            0.028571,            0.011868,                   0,           0.0017019,           0.0017019,            0.046602
                  69,            0.039302,            0.017119,                   0,             0.94678,             0.97754,             0.99003,              0.5863,            0.031025,             0.01213,                   0,           0.0016606,           0.0016606,            0.045761
                  70,            0.038066,            0.018174,                   0,             0.98903,                   1,             0.99489,             0.72486,            0.027481,            0.012212,                   0,           0.0016188,           0.0016188,            0.044919
                  71,            0.033262,            0.016848,                   0,             0.98913,             0.99996,             0.99467,             0.61502,            0.030611,            0.011805,                   0,           0.0015766,           0.0015766,            0.044077
                  72,            0.035928,            0.017166,                   0,                   1,             0.99996,               0.995,             0.66531,            0.026373,            0.011591,                   0,           0.0015342,           0.0015342,            0.043234
                  73,             0.03469,            0.016888,                   0,             0.98912,                   1,             0.99489,             0.67232,            0.027285,            0.011295,                   0,           0.0014917,           0.0014917,            0.042392
                  74,            0.030812,            0.016933,                   0,                   1,             0.99998,               0.995,             0.65252,            0.026938,            0.011146,                   0,           0.0014493,           0.0014493,            0.041549
                  75,            0.032593,             0.01686,                   0,                   1,             0.99999,               0.995,             0.71655,             0.02492,            0.011162,                   0,            0.001407,            0.001407,            0.040707
                  76,            0.030855,            0.016814,                   0,                   1,             0.99997,               0.995,             0.68926,            0.027221,             0.01135,                   0,           0.0013651,           0.0013651,            0.039865
                  77,            0.029008,            0.015042,                   0,             0.99999,                   1,               0.995,               0.664,            0.024558,            0.010862,                   0,           0.0013236,           0.0013236,            0.039024
                  78,            0.031354,            0.017101,                   0,                   1,                   1,               0.995,             0.66929,            0.026878,            0.010974,                   0,           0.0012826,           0.0012826,            0.038183
                  79,            0.030249,            0.016702,                   0,             0.99999,                   1,               0.995,             0.68861,            0.023512,            0.010886,                   0,           0.0012424,           0.0012424,            0.037342
                  80,            0.027064,            0.015182,                   0,             0.99999,                   1,               0.995,             0.68885,             0.02621,            0.010943,                   0,            0.001203,            0.001203,            0.036503
                  81,            0.030955,            0.015924,                   0,             0.99998,                   1,               0.995,             0.70216,            0.024425,            0.010851,                   0,           0.0011647,           0.0011647,            0.035665
                  82,            0.029817,            0.016434,                   0,             0.99999,                   1,               0.995,             0.68767,            0.024725,            0.010815,                   0,           0.0011274,           0.0011274,            0.034827
                  83,            0.026028,            0.015618,                   0,             0.99998,                   1,               0.995,              0.6998,             0.02267,            0.010552,                   0,           0.0010915,           0.0010915,            0.033991
                  84,            0.026645,            0.014908,                   0,             0.99999,                   1,               0.995,             0.71169,            0.021968,            0.010498,                   0,           0.0010569,           0.0010569,            0.033157
                  85,            0.026715,             0.01506,                   0,             0.99999,                   1,               0.995,              0.7096,            0.023152,            0.010457,                   0,            0.001024,            0.001024,            0.032324
                  86,             0.02519,            0.013871,                   0,                   1,                   1,               0.995,             0.70294,            0.022585,            0.010367,                   0,          0.00099265,          0.00099265,            0.031493
                  87,            0.024518,            0.015464,                   0,             0.99999,                   1,               0.995,             0.71746,            0.022971,            0.010256,                   0,          0.00096318,          0.00096318,            0.030663
                  88,            0.027736,            0.016805,                   0,                   1,                   1,               0.995,              0.7129,            0.023783,            0.010401,                   0,          0.00093568,          0.00093568,            0.029836
                  89,            0.027352,            0.015882,                   0,                   1,             0.99999,               0.995,             0.70288,            0.022768,            0.010205,                   0,          0.00091028,          0.00091028,             0.02901
                  90,            0.027544,            0.015065,                   0,             0.99999,                   1,               0.995,             0.70945,            0.023715,            0.010272,                   0,          0.00088712,          0.00088712,            0.028187
                  91,            0.027297,            0.016164,                   0,                   1,             0.99999,               0.995,             0.70663,            0.021572,            0.010256,                   0,          0.00086633,          0.00086633,            0.027366
                  92,            0.023981,            0.015154,                   0,                   1,                   1,               0.995,             0.72289,            0.020634,            0.010125,                   0,          0.00084804,          0.00084804,            0.026548
                  93,            0.024029,            0.014339,                   0,             0.99999,                   1,               0.995,             0.72894,            0.020968,            0.010131,                   0,          0.00083239,          0.00083239,            0.025732
                  94,            0.025303,            0.016279,                   0,             0.99999,                   1,               0.995,             0.72295,            0.021933,            0.010266,                   0,           0.0008195,           0.0008195,            0.024919
                  95,            0.024298,             0.01552,                   0,                   1,                   1,               0.995,             0.71625,            0.021558,            0.010079,                   0,          0.00080949,          0.00080949,            0.024109
                  96,            0.024778,            0.015688,                   0,             0.99999,                   1,               0.995,             0.71966,            0.021689,            0.010138,                   0,           0.0008025,           0.0008025,            0.023302
                  97,            0.026409,             0.01514,                   0,             0.99999,                   1,               0.995,             0.70524,            0.021009,            0.010118,                   0,          0.00079864,          0.00079864,            0.022499
                  98,            0.022334,             0.01456,                   0,                   1,                   1,               0.995,             0.72006,            0.020948,            0.010161,                   0,          0.00079802,          0.00079802,            0.021698
                  99,            0.023289,            0.014161,                   0,             0.99999,                   1,               0.995,             0.71384,            0.020732,            0.010073,                   0,          0.00080077,          0.00080077,            0.020901
